timestamp_ms,iso,currentTime_s,duration_s,paused,playbackRate,readyState,videoWidth,videoHeight,totalVideoFrames,droppedVideoFrames,buffered_start_s,buffered_end_s,buffered_seconds,debug_text
"1765426807259","2025-12-11T04:20:07.259Z","95.983225","3152.524375","false","1","4","1280","720","2306","0","84.709625","127.669208","31.685982999999993",
"1765426808258","2025-12-11T04:20:08.258Z","96.982733","3152.524375","false","1","4","1280","720","2330","0","84.709625","127.669208","30.686475",
"1765426809258","2025-12-11T04:20:09.258Z","97.982603","3152.524375","false","1","4","1280","720","2354","0","86.044291","128.962166","30.979563",
"1765426810259","2025-12-11T04:20:10.259Z","98.983055","3152.524375","false","1","4","1280","720","2378","0","86.044291","129.879749","30.89669400000001",
"1765426811258","2025-12-11T04:20:11.258Z","99.982661","3152.524375","false","1","4","1280","720","2402","0","86.044291","131.925333","31.942672",
"1765426812258","2025-12-11T04:20:12.258Z","100.982807","3152.524375","false","1","4","1280","720","2426","0","87.754333","131.925333","30.942526",
"1765426813258","2025-12-11T04:20:13.258Z","101.982624","3152.524375","false","1","4","1280","720","2450","0","87.754333","133.383249","31.400625000000005",
"1765426814258","2025-12-11T04:20:14.258Z","102.982239","3152.524375","false","1","4","1280","720","2474","0","87.754333","134.092291","31.110051999999982",
"1765426815258","2025-12-11T04:20:15.258Z","103.982559","3152.524375","false","1","4","1280","720","2498","0","87.754333","134.801333","30.818774000000005",
"1765426816258","2025-12-11T04:20:16.258Z","104.982929","3152.524375","false","1","4","1280","720","2522","0","87.754333","136.191999","31.20907000000001",
"1765426817258","2025-12-11T04:20:17.258Z","105.982416","3152.524375","false","1","4","1280","720","2546","0","87.754333","137.679208","31.696791999999988",
"1765426818258","2025-12-11T04:20:18.258Z","106.982794","3152.524375","false","1","4","1280","720","2570","0","87.754333","139.472666","32.489872000000005",
"1765426819258","2025-12-11T04:20:19.258Z","107.982467","3152.524375","false","1","4","1280","720","2594","0","87.754333","139.472666","31.490199000000004",
"1765426820258","2025-12-11T04:20:20.258Z","108.982689","3152.524375","false","1","4","1280","720","2618","0","87.754333","140.501333","31.518643999999995",
"1765426821259","2025-12-11T04:20:21.259Z","109.983221","3152.524375","false","1","4","1280","720","2642","0","97.514083","141.057583","31.074361999999994",
"1765426822258","2025-12-11T04:20:22.258Z","110.982544","3152.524375","false","1","4","1280","720","2666","0","97.514083","141.933458","30.950913999999997",
"1765426823259","2025-12-11T04:20:23.259Z","111.98315","3152.524375","false","1","4","1280","720","2690","0","97.514083","142.851041","30.867891000000014",
"1765426824258","2025-12-11T04:20:24.258Z","112.982889","3152.524375","false","1","4","1280","720","2714","0","97.514083","144.682666","31.69977700000001",
"1765426825259","2025-12-11T04:20:25.259Z","113.983085","3152.524375","false","1","4","1280","720","2738","0","97.514083","144.682666","30.69958100000001",
"1765426826258","2025-12-11T04:20:26.258Z","114.982661","3152.524375","false","1","4","1280","720","2762","0","97.514083","146.479666","31.497005000000016",
"1765426827258","2025-12-11T04:20:27.258Z","115.982705","3152.524375","false","1","4","1280","720","2786","0","97.514083","146.479666","30.496961000000013",
"1765426828258","2025-12-11T04:20:28.258Z","116.982819","3152.524375","false","1","4","1280","720","2810","0","97.514083","147.647499","30.664680000000004",
"1765426829258","2025-12-11T04:20:29.258Z","117.982751","3152.524375","false","1","4","960","540","2834","0","100.1","149.418666","31.43591500000001",
"1765426830258","2025-12-11T04:20:30.258Z","118.982858","3152.524375","false","1","4","960","540","2858","0","100.1","150.859041","31.876182999999997",
"1765426831258","2025-12-11T04:20:31.258Z","119.982727","3152.524375","false","1","4","960","540","2882","0","100.1","150.859041","30.876313999999994",
